Product Name,Product Name,Product Name,Model Number,Product category,Product Description
"Union & Scale™ MidMod 60"" Computer and Writing Storage Desk",Final price $309.99,24398973,UN59685-CC, Espresso (UN56950),Harness vintage style in your office with this Union & Scale™ MidMod storage desk
"Staples Gillespie 62"" L-Shaped Desk",Final price $129.99,1929202,ST28189-CC, Sonona Cherry (28189R-CC),Upgrade your workstation with the stylish design and broad surface area of this Gillespie L-shaped desk
Easy 2 Go Corner Computer Desk,Final price $104.99,24343773,WE-OF-0152G, Gray (WE-OF-0152G),Easy 2 Go Corner Computer Desks
Easy 2 Go Student Desk with Bookcases,Final price $74.99,24343774, WE-OF-0146G, Gray (WE-OF-0146G),Easy 2 Go Student Desk with Bookcases
Staples Kendall Park L-Desk,Final price $329.99,24290427,ST52493-CC,cherry(52493),Complete your home or small office with the Kendall Park Cherry L-Shaped desk in a traditional cherry 
"Whalen Asherton 60"" W L-Shaped computer desk",Final price $279.99,2736559,SPUS-ASHD,Fawn Aged Oak (SPUS-ASHD),Improve your workspace with the sleek form and ample storage of this Whalen Asherton L desk
"Easy 2 Go 48"" Corner Desk",Final price $119.99,952543,952543-CC,Brown (952543-CC),Maximize usable floor space at home or in the office with this Easy 2 Go corner computer desk
"Easy 2 Go 36"" Corner Desk",Final price $99.99,951572,951572-CC , Brown (951572-CC),Organize an efficient workstation with this resort-cherry-finished Easy 2 Go corner computer desk
"Whalen Emergent Gaming 60"" Laminate Computer Desk",Final price $309.99,24308799,SPUS-EGBD,Black (SPUS-EGDB),Provide an ergonomic mount for cyber battle gear with this black Whalen Emergent Gaming desk
"Abington 60"" W Computer Desk",Final price $279.99,2736557,SPUS-ABTD,Dusty Aged Oak (SPUS-ABTD),Bring classic style to your work area with this Whalen Abington antique white desk
